,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%,salary
3522,2014-2015,Reggie Williams,SF,28.0,SAS,37.0,10.0,0.0,2.0,1.0,5.0,12.0,105.0,20.0,0.0,12.0,4.0,39.0,19.0,3.0,15.0,4.0,10.5,0.2,1.85,0.5,0.0,0.1,0.05,0.85,5.25,0.38461538461538464,1.0,0.15789473684210525,0.344036
3523,2014-2015,Marvin Williams,PF,28.0,CHO,577.0,100.0,36.0,60.0,69.0,58.0,328.0,2035.0,78.0,37.0,146.0,87.0,495.0,265.0,95.0,210.0,62.0,11.8,4.3,7.397435897435898,1.2820512820512822,0.46153846153846156,0.7692307692307693,0.8846153846153846,4.948717948717949,26.08974358974359,0.42424242424242425,0.7126436781609196,0.3584905660377358,7.0
3524,2014-2015,Lou Williams,SG,28.0,TOR,1242.0,164.0,10.0,101.0,88.0,24.0,127.0,2016.0,80.0,0.0,103.0,395.0,928.0,447.0,152.0,375.0,340.0,19.9,6.6,15.525,2.05,0.125,1.2625,1.1,1.8875,25.2,0.4040948275862069,0.8607594936708861,0.3400447427293065,5.45
3525,2014-2015,Derrick Williams,PF,23.0,SAC,617.0,50.0,4.0,56.0,34.0,41.0,161.0,1462.0,74.0,6.0,67.0,196.0,485.0,156.0,49.0,217.0,134.0,12.8,2.1,8.337837837837839,0.6756756756756757,0.05405405405405406,0.7567567567567568,0.4594594594594595,2.72972972972973,19.756756756756758,0.44742268041237115,0.6836734693877551,0.3141025641025641,6.331404
3526,2014-2015,Deron Williams,PG,30.0,BRK,884.0,448.0,17.0,154.0,64.0,29.0,208.0,2114.0,68.0,55.0,157.0,241.0,771.0,237.0,87.0,298.0,201.0,15.7,3.6,13.0,6.588235294117647,0.25,2.264705882352941,0.9411764705882353,3.485294117647059,31.08823529411765,0.3865110246433204,0.8340248962655602,0.3670886075949367,19.754465
3527,2014-2015,Andrew Wiggins,SF,19.0,MIN,1387.0,170.0,50.0,177.0,86.0,134.0,240.0,2969.0,82.0,82.0,190.0,466.0,1137.0,126.0,39.0,497.0,354.0,13.9,2.1,16.914634146341463,2.073170731707317,0.6097560975609756,2.158536585365854,1.048780487804878,4.560975609756097,36.207317073170735,0.4371152154793316,0.759656652360515,0.30952380952380953,5.51064
3528,2014-2015,Hassan Whiteside,C,25.0,MIA,564.0,6.0,123.0,58.0,27.0,145.0,337.0,1142.0,48.0,32.0,129.0,156.0,387.0,0.0,0.0,243.0,78.0,26.2,5.3,11.75,0.125,2.5625,1.2083333333333333,0.5625,10.041666666666666,23.791666666666668,0.627906976744186,0.5,,0.769881
3529,2014-2015,Russell Westbrook,PG,26.0,OKC,1886.0,574.0,14.0,293.0,140.0,124.0,364.0,2302.0,67.0,67.0,184.0,654.0,1471.0,288.0,86.0,627.0,546.0,29.1,10.6,28.149253731343283,8.567164179104477,0.208955223880597,4.373134328358209,2.08955223880597,7.2835820895522385,34.35820895522388,0.4262406526172672,0.8348623853211009,0.2986111111111111,15.719062
3530,2014-2015,David West,PF,34.0,IND,769.0,223.0,48.0,120.0,48.0,108.0,341.0,1895.0,66.0,66.0,160.0,161.0,686.0,20.0,4.0,323.0,119.0,16.0,4.3,11.651515151515152,3.378787878787879,0.7272727272727273,1.8181818181818181,0.7272727272727273,6.803030303030303,28.71212121212121,0.4708454810495627,0.7391304347826086,0.2,12.0
3531,2014-2015,Martell Webster,SF,28.0,WAS,106.0,17.0,1.0,22.0,7.0,10.0,36.0,352.0,32.0,0.0,24.0,64.0,91.0,43.0,10.0,24.0,48.0,5.9,0.0,3.3125,0.53125,0.03125,0.6875,0.21875,1.4375,11.0,0.26373626373626374,0.75,0.23255813953488372,5.38175
3532,2014-2015,Travis Wear,SF,24.0,NYK,199.0,40.0,11.0,35.0,15.0,31.0,75.0,672.0,51.0,1.0,55.0,26.0,209.0,30.0,11.0,84.0,20.0,8.5,-0.3,3.9019607843137254,0.7843137254901961,0.21568627450980393,0.6862745098039216,0.29411764705882354,2.0784313725490198,13.176470588235293,0.4019138755980861,0.7692307692307693,0.36666666666666664,0.507336
3533,2014-2015,Mirza Teletovic,PF,29.0,BRK,339.0,46.0,16.0,53.0,14.0,27.0,167.0,892.0,40.0,4.0,74.0,46.0,319.0,193.0,62.0,122.0,33.0,10.7,0.5,8.475,1.15,0.4,1.325,0.35,4.85,22.3,0.3824451410658307,0.717391304347826,0.32124352331606215,3.3681
3534,2014-2015,Jeff Teague,PG,26.0,ATL,1162.0,513.0,31.0,205.0,125.0,30.0,154.0,2228.0,73.0,72.0,139.0,319.0,887.0,207.0,71.0,408.0,275.0,20.6,7.7,15.917808219178083,7.027397260273973,0.4246575342465753,2.808219178082192,1.7123287671232876,2.5205479452054793,30.52054794520548,0.4599774520856821,0.8620689655172413,0.34299516908212563,8.0
3535,2014-2015,Jeffery Taylor,SF,25.0,CHO,127.0,22.0,1.0,19.0,12.0,14.0,39.0,430.0,29.0,13.0,36.0,41.0,114.0,36.0,11.0,45.0,26.0,8.2,0.3,4.379310344827586,0.7586206896551724,0.034482758620689655,0.6551724137931034,0.41379310344827586,1.8275862068965518,14.827586206896552,0.39473684210526316,0.6341463414634146,0.3055555555555556,0.915243
3536,2014-2015,Jared Sullinger,PF,22.0,BOS,770.0,134.0,42.0,78.0,44.0,147.0,294.0,1566.0,58.0,49.0,153.0,129.0,708.0,184.0,52.0,311.0,96.0,17.9,4.0,13.275862068965518,2.310344827586207,0.7241379310344828,1.3448275862068966,0.7586206896551724,7.603448275862069,27.0,0.4392655367231638,0.7441860465116279,0.2826086956521739,1.42452
3537,2014-2015,Derrick Rose,PG,26.0,CHI,904.0,251.0,16.0,161.0,36.0,35.0,126.0,1530.0,51.0,51.0,63.0,187.0,835.0,271.0,76.0,338.0,152.0,15.9,1.2,17.725490196078432,4.921568627450981,0.3137254901960784,3.156862745098039,0.7058823529411765,3.156862745098039,30.0,0.40479041916167663,0.8128342245989305,0.28044280442804426,18.862876
3538,2014-2015,Brian Roberts,PG,29.0,CHO,480.0,162.0,6.0,57.0,33.0,13.0,96.0,1330.0,72.0,10.0,75.0,74.0,452.0,193.0,62.0,176.0,66.0,11.7,1.8,6.666666666666667,2.25,0.08333333333333333,0.7916666666666666,0.4583333333333333,1.5138888888888888,18.47222222222222,0.3893805309734513,0.8918918918918919,0.32124352331606215,2.732
3539,2014-2015,Andre Roberson,SG,23.0,OKC,228.0,70.0,29.0,46.0,53.0,60.0,195.0,1286.0,67.0,65.0,141.0,48.0,201.0,85.0,21.0,92.0,23.0,9.1,2.1,3.4029850746268657,1.044776119402985,0.43283582089552236,0.6865671641791045,0.7910447761194029,3.8059701492537314,19.19402985074627,0.4577114427860697,0.4791666666666667,0.24705882352941178,1.16088
3540,2014-2015,Luke Ridnour,PG,33.0,ORL,188.0,96.0,4.0,38.0,20.0,8.0,60.0,683.0,47.0,0.0,67.0,21.0,176.0,63.0,20.0,75.0,18.0,10.0,0.6,4.0,2.0425531914893615,0.0851063829787234,0.8085106382978723,0.425531914893617,1.446808510638298,14.53191489361702,0.42613636363636365,0.8571428571428571,0.31746031746031744,2.75
3541,2014-2015,Jason Richardson,SG,34.0,PHI,172.0,38.0,3.0,16.0,13.0,13.0,53.0,416.0,19.0,15.0,28.0,22.0,178.0,96.0,31.0,62.0,17.0,11.7,0.4,9.052631578947368,2.0,0.15789473684210525,0.8421052631578947,0.6842105263157895,3.473684210526316,21.894736842105264,0.34831460674157305,0.7727272727272727,0.3229166666666667,6.601125
3542,2014-2015,Zach Randolph,PF,33.0,MEM,1143.0,153.0,14.0,156.0,69.0,225.0,522.0,2304.0,71.0,71.0,175.0,298.0,932.0,20.0,7.0,454.0,228.0,19.5,7.2,16.098591549295776,2.1549295774647885,0.19718309859154928,2.1971830985915495,0.971830985915493,10.52112676056338,32.45070422535211,0.4871244635193133,0.7651006711409396,0.35,16.5
3543,2014-2015,Julius Randle,PF,20.0,LAL,2.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,-7.5,-0.1,2.0,0.0,0.0,1.0,0.0,0.0,14.0,0.3333333333333333,0.0,,2.99736
3544,2014-2015,Miroslav Raduljica,C,27.0,MIN,8.0,0.0,0.0,2.0,1.0,2.0,3.0,23.0,5.0,0.0,8.0,2.0,8.0,0.0,0.0,3.0,2.0,3.3,0.0,1.6,0.0,0.0,0.4,0.2,1.0,4.6,0.375,1.0,,1.5
3545,2014-2015,Mason Plumlee,C,24.0,BRK,717.0,74.0,63.0,106.0,65.0,175.0,337.0,1743.0,82.0,45.0,207.0,317.0,489.0,3.0,0.0,280.0,157.0,18.0,4.8,8.74390243902439,0.9024390243902439,0.7682926829268293,1.2926829268292683,0.7926829268292683,6.2439024390243905,21.25609756097561,0.5725971370143149,0.4952681388012618,0.0,1.35708
3546,2014-2015,Paul Pierce,SF,37.0,WAS,868.0,144.0,24.0,92.0,46.0,45.0,249.0,1914.0,73.0,73.0,160.0,210.0,656.0,303.0,118.0,293.0,164.0,15.2,5.5,11.89041095890411,1.9726027397260273,0.3287671232876712,1.2602739726027397,0.6301369863013698,4.027397260273973,26.21917808219178,0.44664634146341464,0.780952380952381,0.38943894389438943,5.305
3547,2014-2015,Nikola Pekovic,C,29.0,MIN,386.0,27.0,12.0,42.0,19.0,89.0,145.0,815.0,31.0,29.0,59.0,129.0,328.0,0.0,0.0,139.0,108.0,16.6,1.2,12.451612903225806,0.8709677419354839,0.3870967741935484,1.3548387096774193,0.6129032258064516,7.548387096774194,26.29032258064516,0.42378048780487804,0.8372093023255814,,12.1
3548,2014-2015,Elfrid Payton,PG,20.0,ORL,731.0,533.0,20.0,203.0,142.0,107.0,242.0,2489.0,82.0,63.0,193.0,214.0,708.0,42.0,11.0,301.0,118.0,13.8,2.3,8.914634146341463,6.5,0.24390243902439024,2.475609756097561,1.7317073170731707,4.2560975609756095,30.353658536585368,0.4251412429378531,0.5514018691588785,0.2619047619047619,2.39784
3549,2014-2015,Chris Paul,PG,29.0,LAC,1564.0,838.0,15.0,190.0,156.0,52.0,324.0,2857.0,82.0,82.0,203.0,321.0,1170.0,349.0,139.0,568.0,289.0,26.0,16.1,19.073170731707318,10.21951219512195,0.18292682926829268,2.317073170731707,1.9024390243902438,4.585365853658536,34.84146341463415,0.48547008547008547,0.9003115264797508,0.3982808022922636,20.068563
3550,2014-2015,Patrick Patterson,PF,25.0,TOR,648.0,155.0,44.0,54.0,60.0,127.0,306.0,2156.0,81.0,4.0,149.0,80.0,535.0,283.0,105.0,240.0,63.0,14.6,6.1,8.0,1.9135802469135803,0.5432098765432098,0.6666666666666666,0.7407407407407407,5.345679012345679,26.617283950617285,0.4485981308411215,0.7875,0.3710247349823322,5.831326
3551,2014-2015,Chandler Parsons,SF,26.0,DAL,1037.0,161.0,19.0,96.0,69.0,64.0,259.0,2186.0,66.0,66.0,140.0,193.0,829.0,347.0,132.0,383.0,139.0,16.3,5.5,15.712121212121213,2.4393939393939394,0.2878787878787879,1.4545454545454546,1.0454545454545454,4.893939393939394,33.121212121212125,0.4620024125452352,0.7202072538860104,0.3804034582132565,14.7
3552,2014-2015,Tony Parker,PG,32.0,SAS,976.0,335.0,2.0,146.0,44.0,15.0,114.0,1953.0,68.0,68.0,108.0,166.0,832.0,89.0,38.0,404.0,130.0,15.9,4.1,14.352941176470589,4.926470588235294,0.029411764705882353,2.1470588235294117,0.6470588235294118,1.8970588235294117,28.720588235294116,0.4855769230769231,0.7831325301204819,0.42696629213483145,12.5
3553,2014-2015,Jabari Parker,PF,19.0,MIL,308.0,42.0,5.0,47.0,31.0,50.0,88.0,738.0,25.0,25.0,42.0,66.0,263.0,16.0,4.0,129.0,46.0,14.5,1.3,12.32,1.68,0.2,1.88,1.24,5.52,29.52,0.49049429657794674,0.696969696969697,0.25,4.93056
3554,2014-2015,Jannero Pargo,PG,35.0,CHO,41.0,8.0,0.0,3.0,0.0,0.0,3.0,73.0,9.0,0.0,8.0,2.0,35.0,22.0,9.0,15.0,2.0,14.9,0.2,4.555555555555555,0.8888888888888888,0.0,0.3333333333333333,0.0,0.3333333333333333,8.11111111111111,0.42857142857142855,1.0,0.4090909090909091,0.915243
3555,2014-2015,Terrence Ross,SF,23.0,TOR,807.0,86.0,25.0,69.0,53.0,32.0,194.0,2092.0,82.0,61.0,136.0,56.0,753.0,390.0,145.0,309.0,44.0,11.2,2.4,9.841463414634147,1.048780487804878,0.3048780487804878,0.8414634146341463,0.6463414634146342,2.7560975609756095,25.51219512195122,0.4103585657370518,0.7857142857142857,0.3717948717948718,2.79396
3556,2014-2015,Kyrie Irving,PG,22.0,CLE,1628.0,389.0,20.0,186.0,114.0,55.0,182.0,2730.0,75.0,75.0,146.0,365.0,1235.0,378.0,157.0,578.0,315.0,21.5,10.4,21.706666666666667,5.1866666666666665,0.26666666666666666,2.48,1.52,3.16,36.4,0.4680161943319838,0.863013698630137,0.41534391534391535,7.07073
3557,2014-2015,Ricky Rubio,PG,24.0,MIN,226.0,193.0,1.0,64.0,38.0,19.0,106.0,692.0,22.0,22.0,59.0,71.0,219.0,51.0,13.0,78.0,57.0,15.2,0.5,10.272727272727273,8.772727272727273,0.045454545454545456,2.909090909090909,1.7272727272727273,5.681818181818182,31.454545454545453,0.3561643835616438,0.8028169014084507,0.2549019607843137,4.660479
3558,2014-2015,Brandon Rush,SG,29.0,GSW,30.0,12.0,12.0,11.0,5.0,4.0,37.0,271.0,33.0,0.0,27.0,11.0,54.0,27.0,3.0,11.0,5.0,0.8,-0.3,0.9090909090909091,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.15151515151515152,1.2424242424242424,8.212121212121213,0.2037037037037037,0.45454545454545453,0.1111111111111111,1.145685
3559,2014-2015,Jarnell Stokes,PF,21.0,MEM,57.0,4.0,5.0,7.0,5.0,16.0,18.0,126.0,19.0,2.0,25.0,28.0,37.0,0.0,0.0,21.0,15.0,18.6,0.5,3.0,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.2631578947368421,1.7894736842105263,6.631578947368421,0.5675675675675675,0.5357142857142857,,0.725
3560,2014-2015,David Stockton,PG,23.0,SAC,8.0,9.0,0.0,4.0,2.0,0.0,2.0,33.0,3.0,0.0,1.0,6.0,6.0,2.0,1.0,2.0,3.0,10.8,0.0,2.6666666666666665,3.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,11.0,0.3333333333333333,0.5,0.5,0.029483
3561,2014-2015,Lance Stephenson,SG,24.0,CHO,501.0,240.0,8.0,128.0,38.0,39.0,238.0,1573.0,61.0,25.0,134.0,110.0,550.0,105.0,18.0,207.0,69.0,8.8,-0.9,8.21311475409836,3.9344262295081966,0.13114754098360656,2.098360655737705,0.6229508196721312,4.540983606557377,25.78688524590164,0.37636363636363634,0.6272727272727273,0.17142857142857143,9.0
3562,2014-2015,Nik Stauskas,SG,21.0,SAC,319.0,67.0,17.0,40.0,20.0,11.0,77.0,1127.0,73.0,1.0,92.0,64.0,296.0,149.0,48.0,108.0,55.0,7.5,0.5,4.36986301369863,0.9178082191780822,0.2328767123287671,0.547945205479452,0.273972602739726,1.2054794520547945,15.438356164383562,0.36486486486486486,0.859375,0.3221476510067114,2.74584
3563,2014-2015,Tiago Splitter,C,30.0,SAS,428.0,78.0,37.0,60.0,35.0,91.0,161.0,1030.0,52.0,35.0,103.0,120.0,303.0,0.0,0.0,169.0,90.0,18.9,4.0,8.23076923076923,1.5,0.7115384615384616,1.1538461538461537,0.6730769230769231,4.846153846153846,19.807692307692307,0.5577557755775577,0.75,,9.25
3564,2014-2015,Marreese Speights,C,27.0,GSW,791.0,72.0,34.0,82.0,20.0,109.0,216.0,1207.0,76.0,9.0,189.0,178.0,646.0,18.0,5.0,318.0,150.0,19.5,4.0,10.407894736842104,0.9473684210526315,0.4473684210526316,1.0789473684210527,0.2631578947368421,4.276315789473684,15.881578947368421,0.49226006191950467,0.8426966292134831,0.2777777777777778,3.6575
3565,2014-2015,Tony Snell,SF,23.0,CHI,435.0,62.0,11.0,48.0,32.0,31.0,145.0,1412.0,72.0,22.0,86.0,55.0,371.0,197.0,73.0,159.0,44.0,10.2,2.4,6.041666666666667,0.8611111111111112,0.1527777777777778,0.6666666666666666,0.4444444444444444,2.4444444444444446,19.61111111111111,0.42857142857142855,0.8,0.37055837563451777,1.4724
3566,2014-2015,Jason Smith,C,28.0,NYK,656.0,140.0,44.0,104.0,32.0,98.0,226.0,1785.0,82.0,31.0,205.0,153.0,592.0,42.0,15.0,257.0,127.0,12.0,1.2,8.0,1.7073170731707317,0.5365853658536586,1.2682926829268293,0.3902439024390244,3.951219512195122,21.76829268292683,0.4341216216216216,0.8300653594771242,0.35714285714285715,3.278
3567,2014-2015,Greg Smith,PF,24.0,DAL,80.0,9.0,11.0,11.0,7.0,26.0,53.0,363.0,42.0,2.0,53.0,39.0,49.0,0.0,0.0,30.0,20.0,10.2,0.8,1.9047619047619047,0.21428571428571427,0.2619047619047619,0.2619047619047619,0.16666666666666666,1.880952380952381,8.642857142857142,0.6122448979591837,0.5128205128205128,,0.948163
3568,2014-2015,Marcus Smart,PG,20.0,BOS,523.0,208.0,18.0,90.0,99.0,61.0,161.0,1808.0,67.0,38.0,176.0,127.0,477.0,272.0,91.0,175.0,82.0,11.0,2.9,7.8059701492537314,3.1044776119402986,0.26865671641791045,1.3432835820895523,1.4776119402985075,3.3134328358208953,26.98507462686567,0.3668763102725367,0.6456692913385826,0.33455882352941174,3.28332
3569,2014-2015,Donald Sloan,PG,27.0,IND,391.0,190.0,0.0,65.0,23.0,12.0,131.0,1107.0,53.0,21.0,47.0,77.0,355.0,131.0,41.0,145.0,60.0,13.1,2.0,7.377358490566038,3.5849056603773586,0.0,1.2264150943396226,0.4339622641509434,2.69811320754717,20.88679245283019,0.4084507042253521,0.7792207792207793,0.31297709923664124,0.948163
3570,2014-2015,Kevin Seraphin,C,25.0,WAS,520.0,59.0,59.0,98.0,10.0,87.0,201.0,1235.0,79.0,0.0,197.0,82.0,450.0,2.0,0.0,231.0,58.0,12.5,1.7,6.582278481012659,0.7468354430379747,0.7468354430379747,1.240506329113924,0.12658227848101267,3.6455696202531644,15.632911392405063,0.5133333333333333,0.7073170731707317,0.0,3.898692
3571,2014-2015,Thabo Sefolosha,SF,30.0,ATL,278.0,75.0,21.0,38.0,53.0,53.0,170.0,976.0,52.0,7.0,67.0,58.0,249.0,78.0,25.0,104.0,45.0,13.8,2.5,5.346153846153846,1.4423076923076923,0.40384615384615385,0.7307692307692307,1.0192307692307692,4.288461538461538,18.76923076923077,0.41767068273092367,0.7758620689655172,0.32051282051282054,4.15
3572,2014-2015,Mike Scott,PF,26.0,ATL,529.0,75.0,3.0,39.0,25.0,45.0,154.0,1123.0,68.0,0.0,83.0,77.0,453.0,192.0,66.0,201.0,61.0,15.1,2.7,7.779411764705882,1.1029411764705883,0.04411764705882353,0.5735294117647058,0.36764705882352944,2.926470588235294,16.514705882352942,0.44370860927152317,0.7922077922077922,0.34375,3.333333
3573,2014-2015,Luis Scola,PF,34.0,IND,763.0,105.0,18.0,94.0,47.0,138.0,388.0,1659.0,81.0,16.0,192.0,226.0,642.0,20.0,5.0,300.0,158.0,16.8,4.4,9.419753086419753,1.2962962962962963,0.2222222222222222,1.1604938271604939,0.5802469135802469,6.493827160493828,20.48148148148148,0.4672897196261682,0.6991150442477876,0.25,4.868499
3574,2014-2015,Dennis Schroder,PG,21.0,ATL,768.0,317.0,4.0,150.0,49.0,29.0,135.0,1516.0,77.0,10.0,127.0,179.0,665.0,148.0,52.0,284.0,148.0,15.7,2.5,9.974025974025974,4.116883116883117,0.05194805194805195,1.948051948051948,0.6363636363636364,2.1298701298701297,19.68831168831169,0.4270676691729323,0.8268156424581006,0.35135135135135137,1.69068
3575,2014-2015,Larry Sanders,C,26.0,MIL,196.0,23.0,39.0,28.0,26.0,67.0,99.0,586.0,27.0,26.0,104.0,48.0,172.0,0.0,0.0,86.0,24.0,15.2,1.6,7.2592592592592595,0.8518518518518519,1.4444444444444444,1.037037037037037,0.9629629629629629,6.148148148148148,21.703703703703702,0.5,0.5,,11.0
3576,2014-2015,JaKarr Sampson,SF,21.0,PHI,386.0,77.0,26.0,76.0,38.0,35.0,128.0,1131.0,74.0,32.0,135.0,94.0,346.0,127.0,31.0,146.0,63.0,9.4,0.6,5.216216216216216,1.0405405405405406,0.35135135135135137,1.027027027027027,0.5135135135135135,2.2027027027027026,15.283783783783784,0.42196531791907516,0.6702127659574468,0.2440944881889764,0.507336
3577,2014-2015,John Salmons,SF,35.0,NOP,42.0,13.0,4.0,5.0,9.0,4.0,17.0,270.0,21.0,0.0,25.0,4.0,48.0,26.0,8.0,16.0,2.0,5.1,0.1,2.0,0.6190476190476191,0.19047619047619047,0.23809523809523808,0.42857142857142855,1.0,12.857142857142858,0.3333333333333333,0.5,0.3076923076923077,2.0
3578,2014-2015,Damjan Rudez,SF,28.0,IND,323.0,53.0,5.0,47.0,16.0,8.0,39.0,1047.0,68.0,2.0,79.0,23.0,263.0,170.0,69.0,119.0,16.0,8.2,1.3,4.75,0.7794117647058824,0.07352941176470588,0.6911764705882353,0.23529411764705882,0.6911764705882353,15.397058823529411,0.4524714828897338,0.6956521739130435,0.40588235294117647,1.1
3579,2014-2015,Joe Ingles,SF,27.0,UTA,396.0,182.0,10.0,98.0,72.0,22.0,153.0,1673.0,79.0,32.0,124.0,40.0,354.0,202.0,72.0,147.0,30.0,9.6,2.2,5.012658227848101,2.3037974683544302,0.12658227848101267,1.240506329113924,0.9113924050632911,2.2151898734177213,21.17721518987342,0.4152542372881356,0.75,0.3564356435643564,0.507336
3580,2014-2015,Jason Maxiell,PF,31.0,CHO,203.0,19.0,44.0,29.0,18.0,86.0,117.0,878.0,61.0,0.0,96.0,71.0,192.0,0.0,0.0,81.0,41.0,10.4,1.4,3.3278688524590163,0.3114754098360656,0.7213114754098361,0.47540983606557374,0.29508196721311475,3.3278688524590163,14.39344262295082,0.421875,0.5774647887323944,,0.915243
3581,2014-2015,Andre Iguodala,SF,31.0,GSW,604.0,228.0,25.0,88.0,89.0,44.0,213.0,2069.0,77.0,0.0,100.0,114.0,496.0,212.0,74.0,231.0,68.0,12.3,5.1,7.8441558441558445,2.961038961038961,0.3246753246753247,1.1428571428571428,1.155844155844156,3.3376623376623376,26.87012987012987,0.4657258064516129,0.5964912280701754,0.3490566037735849,12.289544
3582,2014-2015,Vince Carter,SG,38.0,MEM,384.0,79.0,14.0,43.0,43.0,27.0,106.0,1091.0,66.0,1.0,102.0,57.0,406.0,232.0,69.0,135.0,45.0,9.6,1.0,5.818181818181818,1.196969696969697,0.21212121212121213,0.6515151515151515,0.6515151515151515,2.015151515151515,16.53030303030303,0.33251231527093594,0.7894736842105263,0.2974137931034483,3.911981
3583,2014-2015,DeMarre Carroll,SF,28.0,ATL,883.0,118.0,17.0,75.0,94.0,99.0,273.0,2189.0,70.0,69.0,154.0,181.0,653.0,304.0,120.0,318.0,127.0,15.9,7.0,12.614285714285714,1.6857142857142857,0.24285714285714285,1.0714285714285714,1.3428571428571427,5.314285714285714,31.271428571428572,0.4869831546707504,0.7016574585635359,0.39473684210526316,2.442455
3584,2014-2015,Clint Capela,C,20.0,HOU,32.0,2.0,9.0,5.0,1.0,10.0,26.0,90.0,12.0,0.0,14.0,23.0,29.0,0.0,0.0,14.0,4.0,12.1,0.0,2.6666666666666665,0.16666666666666666,0.75,0.4166666666666667,0.08333333333333333,3.0,7.5,0.4827586206896552,0.17391304347826086,,1.1892
3585,2014-2015,Kentavious Caldwell-Pope,SG,21.0,DET,1043.0,109.0,18.0,94.0,93.0,46.0,209.0,2587.0,82.0,82.0,161.0,158.0,972.0,444.0,153.0,390.0,110.0,11.2,2.8,12.71951219512195,1.329268292682927,0.21951219512195122,1.146341463414634,1.1341463414634145,3.1097560975609757,31.548780487804876,0.4012345679012346,0.6962025316455697,0.34459459459459457,2.77248
3586,2014-2015,Jose Calderon,PG,33.0,NYK,382.0,198.0,0.0,75.0,31.0,19.0,105.0,1270.0,42.0,42.0,76.0,32.0,354.0,142.0,59.0,147.0,29.0,11.3,0.9,9.095238095238095,4.714285714285714,0.0,1.7857142857142858,0.7380952380952381,2.9523809523809526,30.238095238095237,0.4152542372881356,0.90625,0.4154929577464789,7.097191
3587,2014-2015,Nick Calathes,SG,25.0,MEM,243.0,146.0,5.0,61.0,63.0,19.0,87.0,838.0,58.0,0.0,100.0,45.0,247.0,43.0,11.0,104.0,24.0,12.3,1.1,4.189655172413793,2.5172413793103448,0.08620689655172414,1.0517241379310345,1.0862068965517242,1.8275862068965518,14.448275862068966,0.42105263157894735,0.5333333333333333,0.2558139534883721,0.816482
3588,2014-2015,Bruno Caboclo,SF,19.0,TOR,10.0,0.0,1.0,4.0,0.0,1.0,1.0,23.0,8.0,0.0,3.0,0.0,12.0,3.0,2.0,4.0,0.0,-1.8,-0.1,1.25,0.0,0.125,0.5,0.0,0.25,2.875,0.3333333333333333,,0.6666666666666666,1.45836
3589,2014-2015,Will Bynum,SG,32.0,WAS,22.0,18.0,1.0,8.0,1.0,2.0,4.0,67.0,7.0,0.0,9.0,4.0,31.0,9.0,0.0,10.0,2.0,4.8,-0.2,3.142857142857143,2.5714285714285716,0.14285714285714285,1.1428571428571428,0.14285714285714285,0.8571428571428571,9.571428571428571,0.3225806451612903,0.5,0.0,2.915908
3590,2014-2015,Rasual Butler,SF,35.0,WAS,580.0,63.0,22.0,48.0,29.0,27.0,170.0,1505.0,75.0,1.0,98.0,67.0,517.0,235.0,91.0,218.0,53.0,11.4,2.6,7.733333333333333,0.84,0.29333333333333333,0.64,0.38666666666666666,2.6266666666666665,20.066666666666666,0.42166344294003866,0.7910447761194029,0.3872340425531915,0.915243
3591,2014-2015,Jimmy Butler,SG,25.0,CHI,1301.0,212.0,36.0,93.0,114.0,114.0,265.0,2513.0,65.0,65.0,108.0,463.0,912.0,193.0,73.0,421.0,386.0,21.3,11.2,20.015384615384615,3.2615384615384615,0.5538461538461539,1.4307692307692308,1.7538461538461538,5.8307692307692305,38.66153846153846,0.4616228070175439,0.8336933045356372,0.37823834196891193,2.008748
3592,2014-2015,Caron Butler,SF,34.0,DET,460.0,79.0,4.0,49.0,43.0,21.0,175.0,1623.0,78.0,21.0,120.0,61.0,396.0,219.0,83.0,161.0,55.0,9.3,2.4,5.897435897435898,1.0128205128205128,0.05128205128205128,0.6282051282051282,0.5512820512820513,2.5128205128205128,20.807692307692307,0.4065656565656566,0.9016393442622951,0.3789954337899543,4.5
3593,2014-2015,Alec Burks,SG,23.0,UTA,374.0,82.0,5.0,52.0,17.0,19.0,95.0,899.0,27.0,27.0,64.0,129.0,300.0,68.0,26.0,121.0,106.0,13.0,1.7,13.851851851851851,3.037037037037037,0.18518518518518517,1.9259259259259258,0.6296296296296297,4.222222222222222,33.2962962962963,0.4033333333333333,0.8217054263565892,0.38235294117647056,3.034356
3594,2014-2015,Trey Burke,PG,22.0,UTA,973.0,328.0,15.0,124.0,65.0,31.0,173.0,2288.0,76.0,43.0,119.0,145.0,1005.0,390.0,124.0,370.0,109.0,12.6,2.4,12.802631578947368,4.315789473684211,0.19736842105263158,1.631578947368421,0.8552631578947368,2.6842105263157894,30.105263157894736,0.3681592039800995,0.7517241379310344,0.31794871794871793,2.54856
