,team,salary,Player,position,season
3598,Denver Nuggets,10.0,JaVale McGee, C,2012-2013
3599,Toronto Raptors,10.0,Andrea Bargnani, C,2012-2013
3600,Indiana Pacers,10.0,David West, F,2012-2013
3601,Minnesota Timberwolves,9.779349,Andrei Kirilenko, SF,2012-2013
3602,Brooklyn Nets,9.682435,Gerald Wallace, SF,2012-2013
3603,San Antonio Spurs,9.638554,Tim Duncan, C,2012-2013
3604,LA Clippers,9.5,Cuttino Mobley, SG,2012-2013
3605,Denver Nuggets,9.439,Danilo Gallinari, SF,2012-2013
3606,Los Angeles Lakers,9.3005,Steve Nash, PG,2012-2013
3607,Golden State Warriors,9.0,Andris Biedrins, C,2012-2013
3608,New Orleans Hornets,8.7,Ryan Anderson, PF,2012-2013
3609,Dallas Mavericks,8.646364,Shawn Marion, SG,2012-2013
3610,Utah Jazz,8.603633,Paul Millsap, PF,2012-2013
3611,Orlando Magic,8.6,Jameer Nelson, G,2012-2013
3612,Utah Jazz,8.5,Mo Williams, PG,2012-2013
3613,Detroit Pistons,8.5,Rodney Stuckey, PG,2012-2013
3614,Atlanta Hawks,8.5,Devin Harris, PG,2012-2013
3615,Oklahoma City Thunder,8.477437,Kendrick Perkins, C,2012-2013
3616,Boston Celtics,8.385,Jeff Green, SF,2012-2013
3617,Houston Rockets,8.374646,Omer Asik, C,2012-2013
3618,Houston Rockets,8.374646,Jeremy Lin, PG,2012-2013
3619,Cleveland Cavaliers,8.368182,Anderson Varejao, C,2012-2013
3620,Philadelphia 76ers,8.28913,Thaddeus Young, PF,2012-2013
3621,Utah Jazz,8.2875,Marvin Williams, PF,2012-2013
3622,Sacramento Kings,8.083,John Salmons, SF,2012-2013
3623,Detroit Pistons,8.06,Charlie Villanueva, PF,2012-2013
3624,Charlotte Bobcats,8.0,Tyrus Thomas, PF,2012-2013
3625,Indiana Pacers,8.0,George Hill, PG,2012-2013
3626,Madrid Real Madrid,6.65,Andres Nocioni, SF,2012-2013
3627,Chicago Bulls,6.6,Jerome James, C,2012-2013
3628,Portland Trail Blazers,6.50532,Wesley Matthews, SG,2012-2013
3629,Philadelphia 76ers,6.5,Spencer Hawes, PF,2012-2013
3630,Orlando Magic,6.4,Glen Davis, PF,2012-2013
3631,Phoenix Suns,6.4,Channing Frye, F,2012-2013
3632,Toronto Raptors,6.25,Landry Fields, SG,2012-2013
3633,Miami Heat,6.2,Mike Miller, SG,2012-2013
3634,Sacramento Kings,6.1,Francisco Garcia, SG,2012-2013
3635,Cleveland Cavaliers,6.091363,Luke Walton, SF,2012-2013
3636,Toronto Raptors,6.05,Amir Johnson, C,2012-2013
3637,Phoenix Suns,6.0,Michael Beasley, SF,2012-2013
3638,Boston Celtics,6.0,Brandon Bass, PF,2012-2013
3639,Denver Nuggets,5.930414,Wilson Chandler, SF,2012-2013
3640,Houston Rockets,5.820417,James Harden, PG,2012-2013
3641,Philadelphia 76ers,5.799625,Jason Richardson, SG,2012-2013
3642,Toronto Raptors,5.75,Kyle Lowry, PG,2012-2013
3643,Philadelphia 76ers,5.6,Nick Young, G,2012-2013
3644,Sacramento Kings,5.48625,Chuck Hayes, PF,2012-2013
3645,New York Knicks,5.475113,Sasha Vujacic, SG,2012-2013
3646,Golden State Warriors,5.4,Jarrett Jack, G,2012-2013
3647,Miami Heat,7.967375,Mark Blount, C,2012-2013
3648,Milwaukee Bucks,7.9,Ersan Ilyasova, PF,2012-2013
3649,Orlando Magic,7.75,Arron Afflalo, G,2012-2013
3650,Los Angeles Lakers,7.7275,Metta World Peace, SF,2012-2013
3651,Washington Wizards,7.72728,Trevor Ariza, SF,2012-2013
3652,Phoenix Suns,7.72728,Marcin Gortat, C,2012-2013
3653,Indiana Pacers,7.5956,James Posey, SF,2012-2013
3654,Sacramento Kings,7.525,Marcus Thornton, SG,2012-2013
3655,Memphis Grizzlies,7.505786,Mike Conley, PG,2012-2013
3656,Phoenix Suns,7.5,Goran Dragic, PG,2012-2013
3657,Washington Wizards,7.459925,John Wall, PG,2012-2013
3658,Chicago Bulls,7.41573,Taj Gibson, PF,2012-2013
3659,Orlando Magic,7.372,Beno Udrih, PG,2012-2013
3660,Orlando Magic,7.1486,Al Harrington, PF,2012-2013
3661,Memphis Grizzlies,6.764045,Tayshaun Prince, SF,2012-2013
3662,Orlando Magic,6.75,JJ Redick, SG,2012-2013
3663,Milwaukee Bucks,6.698565,Samuel Dalembert, C,2012-2013
3664,Milwaukee Bucks,6.6874,Drew Gooden, PF,2012-2013
3665,Oklahoma City Thunder,6.665,Morris Peterson, SG,2012-2013
3666,Cleveland Cavaliers,5.37576,Kyrie Irving, PG,2012-2013
3667,Philadelphia 76ers,5.29308,Evan Turner, SG,2012-2013
3668,Sacramento Kings,5.250825,Tyreke Evans, SG,2012-2013
3669,Sacramento Kings,5.25,Jason Thompson, PF,2012-2013
3670,Atlanta Hawks,5.24875,Zaza Pachulia, C,2012-2013
3671,LA Clippers,5.225,Jamal Crawford, SG,2012-2013
3672,San Antonio Spurs,5.22,Antonio McDyess, PF,2012-2013
3673,Atlanta Hawks,5.209454,Speedy Claxton, PG,2012-2013
3674,Washington Wizards,5.15,Martell Webster, SF,2012-2013
3675,New Orleans Hornets,5.14428,Anthony Davis, PF,2012-2013
3676,New Orleans Pelicans,5.104,Brad Miller, C,2012-2013
3677,Minnesota Timberwolves,5.1,Brandon Roy, SG,2012-2013
3678,Atlanta Hawks,5.0,Lou Williams, SG,2012-2013
3679,Denver Nuggets,5.0,Andre Miller, PG,2012-2013
3680,Detroit Pistons,5.0,Jason Maxiell, PF,2012-2013
3681,Chicago Bulls,5.0,Richard Hamilton, SG,2012-2013
3682,New Orleans Hornets,4.899293,Robin Lopez, C,2012-2013
3683,New Orleans Pelicans,4.847586,Marcus Banks, PG,2012-2013
3684,Minnesota Timberwolves,4.8372,Nikola Pekovic, C,2012-2013
3685,Philadelphia 76ers,4.818,Darius Songaila, PF,2012-2013
3686,Charlotte Bobcats,4.80984,Michael Kidd-Gilchrist, SF,2012-2013
3687,Minnesota Timberwolves,4.80984,Derrick Williams, PF,2012-2013
3688,Milwaukee Bucks,4.794192,Luc Mbah a Moute, PF,2012-2013
3689,Cleveland Cavaliers,4.792332,Daniel Gibson, SG,2012-2013
3690,Indiana Pacers,4.76376,Victor Oladipo, SG,2012-2013
3691,Utah Jazz,4.75332,Derrick Favors, PF,2012-2013
3692,Toronto Raptors,4.6,Linas Kleiza, SF,2012-2013
3693,New York Knicks,4.590338,Marcus Camby, C,2012-2013
3694,Phoenix Suns,4.508504,Luis Scola, F,2012-2013
3695,San Antonio Spurs,4.5,Boris Diaw, C,2012-2013
3696,Detroit Pistons,4.5,Jonas Jerebko, PF,2012-2013
3697,Minnesota Timberwolves,4.4935,J.J. Barea, PG,2012-2013
3698,Miami Heat,4.34,Udonis Haslem, PF,2012-2013
3699,Washington Wizards,4.31928,Bradley Beal, SG,2012-2013
3700,Utah Jazz,4.31928,Enes Kanter, C,2012-2013
3701,Phoenix Suns,4.28556,Wesley Johnson, SF,2012-2013
3702,Washington Wizards,4.278,Otto Porter Jr., SF,2012-2013
3703,Sacramento Kings,4.25,Jordan Farmar, PG,2012-2013
3704,Phoenix Suns,4.25,Jared Dudley, SF,2012-2013
3705,Memphis Grizzlies,4.2,Marreese Speights, F,2012-2013
3706,Philadelphia 76ers,4.106,Dorell Wright, SF,2012-2013
3707,San Antonio Spurs,4.1,Bruce Bowen, SF,2012-2013
3708,Golden State Warriors,4.09992,Charlie Bell, SG,2012-2013
3709,Memphis Grizzlies,4.080915,Greg Buckner, SG,2012-2013
3710,Chicago Bulls,4.059,Kirk Hinrich, SG,2012-2013
3711,New York Knicks,4.054055,Steve Novak, SF,2012-2013
3712,Dallas Mavericks,4.02,O.J. Mayo, SG,2012-2013
3713,Portland Trail Blazers,4.0,JJ Hickson, C,2012-2013
3714,Indiana Pacers,4.0,Ian Mahinmi, C,2012-2013
3715,Miami Heat,4.0,Mario Chalmers, G,2012-2013
3716,Minnesota Timberwolves,4.0,Luke Ridnour, PG,2012-2013
3717,Boston Celtics,4.0,Ryan Gomes, SF,2012-2013
3718,Golden State Warriors,3.958742,Stephen Curry, PG,2012-2013
3719,San Antonio Spurs,3.944,Tiago Splitter, C,2012-2013
3720,Oklahoma City Thunder,3.9,Thabo Sefolosha, SF,2012-2013
3721,Cleveland Cavaliers,3.89424,Tristan Thompson, C,2012-2013
3722,Sacramento Kings,3.8808,DeMarcus Cousins, C,2012-2013
3723,Charlotte Hornets,3.85704,Cody Zeller, C,2012-2013
3724,Miami Heat,3.8,Joel Anthony, PF,2012-2013
3725,Minnesota Timberwolves,3.74112,Ricky Rubio, PG,2012-2013
3726,Cleveland Cavaliers,3.7266,Dion Waiters, SG,2012-2013
3727,San Antonio Spurs,3.63,Matt Bonner, C,2012-2013
3728,Los Angeles Lakers,3.5636,Jordan Hill, C,2012-2013
3729,Milwaukee Bucks,3.52488,Ekpe Udoh, C,2012-2013
3730,Los Angeles Lakers,3.5,Chris Duhon, PG,2012-2013
3731,Cleveland Cavaliers,3.5,Alonzo Gee, SF,2012-2013
3732,San Antonio Spurs,3.5,Danny Green, SG,2012-2013
3733,Charlotte Bobcats,3.5,Matt Carroll, SG,2012-2013
3734,Atlanta Hawks,3.5,Johan Petro, C,2012-2013
3735,New York Knicks,3.480453,Raymond Felton, PG,2012-2013
3736,Utah Jazz,3.48,Raja Bell, SG,2012-2013
3737,Toronto Raptors,3.37464,Jonas Valanciunas, C,2012-2013
3738,Sacramento Kings,3.37464,Thomas Robinson, F,2012-2013
3739,Toronto Raptors,3.34425,DeMar DeRozan, SG,2012-2013
3740,Washington Wizards,3.34092,Jan Vesely, PF,2012-2013
3741,Memphis Grizzlies,3.3,Tony Allen, SG,2012-2013
3742,Miami Heat,3.27,Shane Battier, SF,2012-2013
3743,LA Clippers,3.25,Matt Barnes, SF,2012-2013
3744,Detroit Pistons,3.25,Will Bynum, PG,2012-2013
3745,Denver Nuggets,3.243,Corey Brewer, F,2012-2013
3746,Miami Heat,3.22905,Ray Allen, SG,2012-2013
3747,Detroit Pistons,3.21768,Greg Monroe, C,2012-2013
3748,Milwaukee Bucks,3.183,Mike Dunleavy, SG,2012-2013
3749,Milwaukee Bucks,3.179493,Brandon Jennings, G,2012-2013
3750,Denver Nuggets,3.140429,Timofey Mozgov, C,2012-2013
3751,Minnesota Timberwolves,3.135,Shawne Williams, SF,2012-2013
3752,Brooklyn Nets,3.09,Mirza Teletovic, PF,2012-2013
3753,New York Knicks,3.09,Jason Kidd, PG,2012-2013
3754,Dallas Mavericks,3.09,Vince Carter, SF,2012-2013
3755,Portland Trail Blazers,3.06504,Damian Lillard, PG,2012-2013
3756,Indiana Pacers,3.055259,Tyler Hansbrough, PF,2012-2013
3757,Charlotte Bobcats,3.04992,Bismack Biyombo, C,2012-2013
3758,Portland Trail Blazers,3.013512,Joel Freeland, C,2012-2013
3759,Memphis Grizzlies,3.006217,Darrell Arthur, F,2012-2013
3760,Philadelphia 76ers,3.0,Lavoy Allen, F,2012-2013
3761,Houston Rockets,3.0,Carlos Delfino, SG,2012-2013
3762,Denver Nuggets,3.0,Kosta Koufos, C,2012-2013
3763,Indiana Pacers,3.0,Jeff Foster, PF,2012-2013
3764,Memphis Grizzlies,2.958077,Austin Daye, SF,2012-2013
3765,New Orleans Hornets,2.9478,Al-Farouq Aminu, PF,2012-2013
3766,Minnesota Timberwolves,2.93461,Alexey Shved, PG,2012-2013
3767,Dallas Mavericks,2.9,Dahntay Jones, SG,2012-2013
3768,Toronto Raptors,2.858057,Julian Wright, SF,2012-2013
3769,Minnesota Timberwolves,2.84,Mark Madsen, PF,2012-2013
3770,Philadelphia 76ers,2.819044,Kwame Brown, C,2012-2013
3771,Sacramento Kings,2.812006,James Johnson, PF,2012-2013
3772,New York Knicks,2.806452,JR Smith, SG,2012-2013
3773,Golden State Warriors,2.79804,Harrison Barnes, SF,2012-2013
3774,Washington Wizards,2.761114,Kevin Seraphin, C,2012-2013
3775,Charlotte Hornets,2.75,Eduardo Najera, PF,2012-2013
3776,Utah Jazz,2.70972,Gordon Hayward, SF,2012-2013
3777,Fenerbahce Ulker Fenerbahce Ulker,2.685185,David Andersen, C,2012-2013
3778,Detroit Pistons,2.67864,Brandon Knight, PG,2012-2013
3779,Philadelphia 76ers,2.674852,Jrue Holiday, PG,2012-2013
3780,Charlotte Bobcats,2.652,Josh McRoberts, PF,2012-2013
3781,New York Knicks,2.6274,Quentin Richardson, SF,2012-2013
3782,LA Clippers,2.626473,Eric Bledsoe, PG,2012-2013
3783,Oklahoma City Thunder,2.585668,Nick Collison, F,2012-2013
3784,Minnesota Timberwolves,2.575,Greg Stiemsma, C,2012-2013
3785,Toronto Raptors,2.575,Aaron Gray, C,2012-2013
3786,Indiana Pacers,2.57412,Paul George, SF,2012-2013
3787,Charlotte Bobcats,2.56836,Kemba Walker, PG,2012-2013
3788,Toronto Raptors,2.56332,Terrence Ross, SG,2012-2013
3789,Denver Nuggets,2.544529,Ty Lawson, G,2012-2013
3790,New Orleans Hornets,2.5,Jason Smith, PF,2012-2013
3791,Utah Jazz,2.5,Randy Foye, SG,2012-2013
3792,Sacramento Kings,2.44548,Cole Aldrich, C,2012-2013
3793,Atlanta Hawks,2.433077,Jeff Teague, PG,2012-2013
3794,Sacramento Kings,2.4,Aaron Brooks, G,2012-2013
3795,LA Clippers,2.4,Ricky Davis, SG,2012-2013
3796,Detroit Pistons,2.35632,Andre Drummond, C,2012-2013
3797,Washington Wizards,2.35082,Trevor Booker, F,2012-2013
3798,Sacramento Kings,2.33904,Jimmer Fredette, G,2012-2013
3799,New Orleans Hornets,2.3232,Xavier Henry, SG,2012-2013
3800,Utah Jazz,2.3,Earl Watson, PG,2012-2013
3801,Cleveland Cavaliers,2.277306,Omri Casspi, SF,2012-2013
3802,Cleveland Cavaliers,2.25,Anthony Parker, SG,2012-2013
3803,Detroit Pistons,2.2464,Ben Wallace, PF,2012-2013
3804,Atlanta Hawks,2.24045,DeShawn Stevenson, SG,2012-2013
3805,New Orleans Hornets,2.23836,Austin Rivers, PG,2012-2013
3806,Dallas Mavericks,2.227333,Rodrigue Beaubois, PG,2012-2013
3807,Cleveland Cavaliers,2.225,CJ Miles, SF,2012-2013
3808,Golden State Warriors,2.22216,Klay Thompson, SG,2012-2013
3809,Memphis Grizzlies,2.20704,Ed Davis, PF,2012-2013
3810,Madrid Real Madrid,2.180443,Rudy Fernandez, SG,2012-2013
3811,Portland Trail Blazers,2.12652,Meyers Leonard, PF,2012-2013
3812,Oklahoma City Thunder,2.11116,Jeremy Lamb, SG,2012-2013
3813,Utah Jazz,2.11116,Alec Burks, SG,2012-2013
3814,Dallas Mavericks,2.1005,Elton Brand, PF,2012-2013
3815,Sacramento Kings,2.09676,Patrick Patterson, PF,2012-2013
3816,Phoenix Suns,2.09184,Markieff Morris, PF,2012-2013
3817,Minnesota Timberwolves,2.09,Dante Cunningham, SF,2012-2013
3818,Memphis Grizzlies,2.083042,Wayne Ellington, SG,2012-2013
3819,Sacramento Kings,2.06788,Toney Douglas, PG,2012-2013
3820,Orlando Magic,2.0628,Anthony Johnson, PG,2012-2013
3821,Houston Rockets,2.0628,Brent Barry, SG,2012-2013
3822,Charlotte Bobcats,2.05,Brendan Haywood, C,2012-2013
3823,Oklahoma City Thunder,2.016,Eric Maynor, PG,2012-2013
3824,Phoenix Suns,2.00556,Kendall Marshall, PG,2012-2013
3825,Milwaukee Bucks,1.99176,Larry Sanders, PF,2012-2013
3826,Toronto Raptors,1.99,Rasho Nesterovic, C,2012-2013
3827,Phoenix Suns,1.98732,Marcus Morris, PF,2012-2013
3828,LA Clippers,1.975,Grant Hill, SF,2012-2013
3829,Chicago Bulls,1.957,Marco Belinelli, G,2012-2013
3830,Dallas Mavericks,1.9,Darren Collison, PG,2012-2013
3831,Portland Trail Blazers,1.89228,Luke Babbitt, F,2012-2013
3832,Milwaukee Bucks,1.82328,John Henson, F,2012-2013
3833,Houston Rockets,1.82328,Dikembe Mutombo, C,2012-2013
3834,San Antonio Spurs,1.80984,Kawhi Leonard, SF,2012-2013
3835,Orlando Magic,1.80984,Maurice Harkless, SF,2012-2013
3836,Utah Jazz,1.794872,Jeremy Evans, F,2012-2013
3837,Orlando Magic,1.79352,Nikola Vucevic, C,2012-2013
3838,Memphis Grizzlies,1.679914,Donte Greene, SF,2012-2013
3839,Miami Heat,1.679408,Chris Andersen, PF,2012-2013
3840,Dallas Mavericks,1.675,Renaldo Balkman, SF,2012-2013
3841,Denver Nuggets,1.674641,Anthony Randolph, SF,2012-2013
3842,Houston Rockets,1.64544,Royce White, PF,2012-2013
3843,New York Knicks,1.63344,Iman Shumpert, SG,2012-2013
3844,Boston Celtics,1.6308,Avery Bradley, SG,2012-2013
3845,Brooklyn Nets,1.622617,Reggie Evans, C,2012-2013
3846,Washington Wizards,1.61868,Chris Singleton, SF,2012-2013
3847,Toronto Raptors,1.5675,Sebastian Telfair, PG,2012-2013
3848,Cleveland Cavaliers,1.56312,Tyler Zeller, C,2012-2013
3849,Los Angeles Lakers,1.55,Jodie Meeks, SG,2012-2013
3850,Orlando Magic,1.54584,Tobias Harris, SF,2012-2013
3851,Indiana Pacers,1.5,Jeff Ayres, F,2012-2013
3852,Miami Heat,1.5,Greg Oden, C,2012-2013
3853,Detroit Pistons,1.5,Slava Kravtsov, C,2012-2013
3854,Orlando Magic,1.5,Gustavo Ayon, PF,2012-2013
3855,Houston Rockets,1.485,Terrence Jones, PF,2012-2013
3856,Orlando Magic,1.482,Andrew Nicholson, PF,2012-2013
3857,Portland Trail Blazers,1.475106,Jared Jeffries, PF,2012-2013
3858,LA Clippers,1.46784,Alexis Ajinca, C,2012-2013
3859,Portland Trail Blazers,1.44288,Elliot Williams, SG,2012-2013
3860,Milwaukee Bucks,1.40904,Tony Snell, SG,2012-2013
3861,Philadelphia 76ers,1.40496,Craig Brackins, PF,2012-2013
3862,San Antonio Spurs,1.4,Nando De Colo, PG,2012-2013
3863,Miami Heat,1.399507,Eddie House, SG,2012-2013
3864,LA Clippers,1.399507,Willie Green, SG,2012-2013
3865,Miami Heat,1.399507,Rashard Lewis, PF,2012-2013
3866,Portland Trail Blazers,1.36572,Nolan Smith, PG,2012-2013
3867,Denver Nuggets,1.3614,Evan Fournier, SG,2012-2013
3868,Houston Rockets,1.3614,Donatas Motiejunas, PF,2012-2013
3869,Utah Jazz,1.352181,Jamaal Tinsley, PG,2012-2013
3870,New York Knicks,1.352181,Kurt Thomas, PF,2012-2013
3871,Milwaukee Bucks,1.35,Roko-Leni Ukic, PG,2012-2013
3872,Denver Nuggets,1.31124,Kenneth Faried, PF,2012-2013
3873,Boston Celtics,1.30692,Jared Sullinger, C,2012-2013
3874,Memphis Grizzlies,1.3,Hamed Haddadi, C,2012-2013
3875,Portland Trail Blazers,1.3,Victor Claver, PF,2012-2013
3876,Dallas Mavericks,1.27656,Dominique Jones, SG,2012-2013
3877,Oklahoma City Thunder,1.26036,Reggie Jackson, PG,2012-2013
3878,Boston Celtics,1.25472,Fab Melo, C,2012-2013
3879,Memphis Grizzlies,1.23432,Quincy Pondexter, SF,2012-2013
3880,Portland Trail Blazers,1.232713,Sasha Pavlovic, SG,2012-2013
3881,Atlanta Hawks,1.20456,John Jenkins, G,2012-2013
3882,Oklahoma City Thunder,1.2,Hasheem Thabeet, C,2012-2013
3883,Washington Wizards,1.19868,Jordan Crawford, G,2012-2013
3884,New Orleans Hornets,1.19124,Greivis Vasquez, PG,2012-2013
3885,Orlando Magic,1.17408,Christian Eyenga, SF,2012-2013
3886,Brooklyn Nets,1.16004,MarShon Brooks, SG,2012-2013
3887,Dallas Mavericks,1.15632,Jared Cunningham, SG,2012-2013
3888,Detroit Pistons,1.149,Reggie Bullock, SG,2012-2013
3889,Portland Trail Blazers,1.146337,Ronnie Price, PG,2012-2013
3890,Miami Heat,1.1292,Norris Cole, PG,2012-2013
3891,Denver Nuggets,1.12152,Jordan Hamilton, SG,2012-2013
3892,Chicago Bulls,1.11288,Jimmy Butler, SG,2012-2013
3893,Oklahoma City Thunder,1.11084,Andre Roberson, SG,2012-2013
3894,Memphis Grizzlies,1.11012,Tony Wroten, SG,2012-2013
3895,Milwaukee Bucks,1.106941,Stephen Graham, SF,2012-2013
3896,Cleveland Cavaliers,1.106941,Joey Graham, SF,2012-2013
3897,Houston Rockets,1.08924,JaJuan Johnson, PF,2012-2013
3898,San Antonio Spurs,1.08512,Patty Mills, PG,2012-2013
3899,Oklahoma City Thunder,1.08252,Perry Jones, SF,2012-2013
3900,Chicago Bulls,1.07472,Marquis Teague, G,2012-2013
3901,San Antonio Spurs,1.07472,Cory Joseph, PG,2012-2013
3902,Indiana Pacers,1.07328,Miles Plumlee, C,2012-2013
3903,Minnesota Timberwolves,1.07172,Alando Tucker, SF,2012-2013
3904,Orlando Magic,1.069509,Von Wafer, SG,2012-2013
3905,Cleveland Cavaliers,1.069509,Kelenna Azubuike, SF,2012-2013
3906,Cleveland Cavaliers,1.054389,Luke Harangody, PF,2012-2013
3907,San Antonio Spurs,1.054,DeJuan Blair, C,2012-2013
3908,Philadelphia 76ers,1.04232,Arnett Moultrie, PF,2012-2013
3909,Brooklyn Nets,1.033342,Quinton Ross, SF,2012-2013
3910,Cleveland Cavaliers,1.029389,Jawad Williams, SF,2012-2013
3911,Golden State Warriors,1.02096,Festus Ezeli, C,2012-2013
3912,Detroit Pistons,1.0,Kyle Singler, F,2012-2013
3913,Houston Rockets,1.0,Jon Brockman, PF,2012-2013
3914,Brooklyn Nets,0.99268,C.J. Watson, PG,2012-2013
3915,Dallas Mavericks,0.99268,Brandan Wright, F,2012-2013
3916,Atlanta Hawks,0.962195,Ivan Johnson, PF,2012-2013
3917,Oklahoma City Thunder,0.916099,Daniel Orton, C,2012-2013
3918,Charlotte Bobcats,0.916099,Jeff Adrien, SF,2012-2013
3919,Orlando Magic,0.910941,Ish Smith, PG,2012-2013
3920,Houston Rockets,0.88825,Chandler Parsons, SF,2012-2013
3921,Miami Heat,0.88512,Henry Walker, SF,2012-2013
3922,Miami Heat,0.88512,Alexander Johnson, SF,2012-2013
3923,Utah Jazz,0.88512,DeMarre Carroll, SF,2012-2013
3924,Minnesota Timberwolves,0.88512,Chase Budinger, SF,2012-2013
3925,Denver Nuggets,0.88512,Pops Mensah-Bonsu, PF,2012-2013
3926,Atlanta Hawks,0.884881,Salim Stoudamire, SG,2012-2013
3927,Oklahoma City Thunder,0.884293,DeAndre Liggins, G,2012-2013
3928,Washington Wizards,0.884293,Garrett Temple, SG,2012-2013
3929,LA Clippers,0.884293,Ryan Hollins, C,2012-2013
3930,Chicago Bulls,0.884293,Nazr Mohammed, C,2012-2013
3931,Orlando Magic,0.884293,E'Twaun Moore, G,2012-2013
3932,Indiana Pacers,0.87,Lance Stephenson, SG,2012-2013
3933,Sacramento Kings,0.855189,Quincy Douby, SG,2012-2013
3934,New York Knicks,0.855189,Mouhamed Sene, C,2012-2013
3935,San Antonio Spurs,0.855189,Marcus Haislip, F,2012-2013
3936,Chicago Bulls,0.855189,Anthony Roberson, SG,2012-2013
3937,Memphis Grizzlies,0.854389,Josh Davis, SF,2012-2013
3938,Sacramento Kings,0.854389,Kenny Thomas, PF,2012-2013
3939,Memphis Grizzlies,0.854389,Kyle Weaver, SG,2012-2013
3940,Miami Heat,0.854389,Luke Jackson, SF,2012-2013
3941,Memphis Grizzlies,0.854389,Darius Miles, SF,2012-2013
3942,Washington Wizards,0.854389,Javaris Crittenton, PG,2012-2013
3943,Utah Jazz,0.854389,Dwayne Jones II, PF,2012-2013
3944,Philadelphia 76ers,0.854389,Damien Wilkins, SG,2012-2013
3945,Dallas Mavericks,0.854389,Brian Cardinal, PF,2012-2013
3946,Washington Wizards,0.854389,Earl Barron, C,2012-2013
3947,Golden State Warriors,0.85,Draymond Green, PF,2012-2013
3948,Dallas Mavericks,0.839312,Troy Murphy, PF,2012-2013
3949,Philadelphia 76ers,0.83,Solomon Alabi, C,2012-2013
3950,Phoenix Suns,0.826828,Michael Redd, SG,2012-2013
3951,Washington Wizards,0.825497,Paul Davis, C,2012-2013
3952,Sacramento Kings,0.825497,Desmond Mason, SF,2012-2013
3953,New Orleans Pelicans,0.825497,Jason Hart, PG,2012-2013
3954,LA Clippers,0.825497,Kareem Rush, SG,2012-2013
3955,Oklahoma City Thunder,0.825497,Kevin Ollie, PG,2012-2013
3956,Oklahoma City Thunder,0.825497,Ryan Bowen, SF,2012-2013
3957,Phoenix Suns,0.825497,Lindsey Hunter, SG,2012-2013
3958,Sacramento Kings,0.809875,Tyler Honeycutt, SF,2012-2013
3959,Portland Trail Blazers,0.799105,Sean Marks, PF,2012-2013
3960,New York Knicks,0.792377,Ike Diogu, PF,2012-2013
3961,New York Knicks,0.792377,Solomon Jones, PF,2012-2013
3962,Milan Olimpia,0.788872,Gani Lawal, PF,2012-2013
3963,Miami Heat,0.788872,Jarvis Varnado, PF,2012-2013
3964,null Unknown,0.788872,Da'Sean Butler, NA,2012-2013
3965,San Antonio Spurs,0.788872,Marcus Cousin, C,2012-2013
3966,Toronto Raptors,0.788872,Andy Rautins, SG,2012-2013
3967,Charlotte Bobcats,0.788872,Jeffery Taylor, SF,2012-2013
3968,Philadelphia 76ers,0.788872,Maalik Wayns, PG,2012-2013
3969,Atlanta Hawks,0.788872,Pape Sy, SF,2012-2013
3970,null Unknown,0.788872,Magnum Rolle, NA,2012-2013
3971,Cleveland Cavaliers,0.780871,Jermaine Taylor, SG,2012-2013
3972,Minnesota Timberwolves,0.773976,Josh Howard, SF,2012-2013
3973,Washington Wizards,0.773976,Shaun Livingston, PG,2012-2013
3974,Los Angeles Lakers,0.771706,Yi Jianlian, SF,2012-2013
3975,Philadelphia 76ers,0.762195,Charles Jenkins, PG,2012-2013
3976,Philadelphia 76ers,0.762195,Justin Harper, PF,2012-2013
3977,Orlando Magic,0.762195,Mickell Gladness, C,2012-2013
3978,Memphis Grizzlies,0.762195,D.J. Kennedy, SG,2012-2013
3979,Phoenix Suns,0.762195,Garret Siler, C,2012-2013
3980,Phoenix Suns,0.762195,Taylor Griffin, PF,2012-2013
3981,Charlotte Bobcats,0.762195,Cory Higgins, PG,2012-2013
3982,Utah Jazz,0.762195,Brian Butch, C,2012-2013
3983,Memphis Grizzlies,0.762195,Jon Leuer, PF,2012-2013
3984,Fenerbahce Ulker Fenerbahce Ulker,0.762195,Semih Erden, C,2012-2013
3985,New Orleans Pelicans,0.762195,Jerome Jordan, C,2012-2013
3986,Los Angeles Lakers,0.73642,Sun Yue, SG,2012-2013
3987,LA Clippers,0.73642,Mike Taylor, PG,2012-2013
3988,Detroit Pistons,0.73642,Walter Sharpe, PF,2012-2013
3989,Charlotte Hornets,0.73642,Dontell Jefferson, SG,2012-2013
3990,Chicago Bulls,0.73642,DeMarcus Nelson, SG,2012-2013
3991,San Antonio Spurs,0.70864,Ime Udoka, SG,2012-2013
3992,Toronto Raptors,0.698589,Mickael Pietrus, SF,2012-2013
3993,Oklahoma City Thunder,0.679821,Mike Wilks, PG,2012-2013
3994,Memphis Grizzlies,0.668434,Brian Skinner, PF,2012-2013
3995,Toronto Raptors,0.665,Quincy Acy, F,2012-2013
3996,Philadelphia 76ers,0.650686,Allen Iverson, SG,2012-2013
3997,Golden State Warriors,0.633253,Acie Law, PG,2012-2013
3998,Dallas Mavericks,0.600491,Jae Crowder, PF,2012-2013
3999,Dallas Mavericks,0.582995,Chris Douglas-Roberts, SG,2012-2013
4000,Indiana Pacers,0.55,Orlando Johnson, SG,2012-2013
4001,Portland Trail Blazers,0.55,Will Barton, SG,2012-2013
4002,Minnesota Timberwolves,0.542788,Lazar Hayward, SF,2012-2013
