,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%
16291,2002-2003,Chris Mihm,C,23.0,CLE,308.0,28.0,38.0,48.0,18.0,93.0,138.0,809.0,52.0,0.0,124.0,105.0,287.0,3.0,0.0,116.0,76.0,13.2,0.9,5.923076923076923,0.5384615384615384,0.7307692307692307,0.9230769230769231,0.34615384615384615,4.4423076923076925,15.557692307692308,0.40418118466898956,0.7238095238095238,0.0
16290,2002-2003,Ron Mercer,SG,26.0,IND,556.0,112.0,14.0,54.0,49.0,32.0,122.0,1671.0,72.0,3.0,123.0,81.0,597.0,16.0,3.0,244.0,65.0,9.3,1.3,7.722222222222222,1.5555555555555556,0.19444444444444445,0.75,0.6805555555555556,2.138888888888889,23.208333333333332,0.40871021775544386,0.8024691358024691,0.1875
16289,2002-2003,Stanislav Medvedenko,PF,23.0,LAL,255.0,18.0,8.0,37.0,11.0,66.0,75.0,620.0,58.0,10.0,118.0,43.0,258.0,2.0,0.0,112.0,31.0,10.3,0.4,4.396551724137931,0.3103448275862069,0.13793103448275862,0.6379310344827587,0.1896551724137931,2.4310344827586206,10.689655172413794,0.43410852713178294,0.7209302325581395,0.0
16288,2002-2003,Aaron McKie,SF,30.0,PHI,721.0,278.0,9.0,109.0,131.0,61.0,289.0,2374.0,80.0,40.0,177.0,134.0,666.0,112.0,37.0,286.0,112.0,13.7,5.1,9.0125,3.475,0.1125,1.3625,1.6375,4.375,29.675,0.4294294294294294,0.835820895522388,0.33035714285714285
16287,2002-2003,Jeff McInnis,PG,28.0,POR,432.0,170.0,2.0,75.0,21.0,22.0,75.0,1311.0,75.0,1.0,117.0,67.0,423.0,35.0,6.0,188.0,50.0,10.0,1.1,5.76,2.2666666666666666,0.02666666666666667,1.0,0.28,1.2933333333333332,17.48,0.4444444444444444,0.746268656716418,0.17142857142857143
16286,2002-2003,Tracy McGrady,SG,23.0,ORL,2407.0,411.0,59.0,195.0,124.0,121.0,367.0,2954.0,75.0,74.0,156.0,726.0,1813.0,448.0,173.0,829.0,576.0,30.3,16.1,32.093333333333334,5.48,0.7866666666666666,2.6,1.6533333333333333,6.506666666666667,39.38666666666666,0.45725317153888584,0.7933884297520661,0.3861607142857143
16285,2002-2003,Jelani McCoy,C,25.0,TOR,457.0,43.0,60.0,96.0,28.0,95.0,260.0,1367.0,67.0,25.0,162.0,126.0,395.0,0.0,0.0,194.0,69.0,12.4,1.0,6.82089552238806,0.6417910447761194,0.8955223880597015,1.4328358208955223,0.417910447761194,5.298507462686567,20.402985074626866,0.4911392405063291,0.5476190476190477,
16284,2002-2003,Amal McCaskill,C,29.0,ATL,11.0,5.0,1.0,2.0,3.0,7.0,15.0,70.0,11.0,0.0,13.0,4.0,17.0,0.0,0.0,4.0,3.0,7.3,0.0,1.0,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.2727272727272727,2.0,6.363636363636363,0.23529411764705882,0.75,
16283,2002-2003,Walter McCarty,SF,28.0,BOS,498.0,106.0,28.0,67.0,78.0,64.0,224.0,1949.0,82.0,8.0,188.0,98.0,418.0,248.0,91.0,173.0,61.0,10.8,4.1,6.073170731707317,1.2926829268292683,0.34146341463414637,0.8170731707317073,0.9512195121951219,3.5121951219512195,23.76829268292683,0.4138755980861244,0.6224489795918368,0.36693548387096775
16282,2002-2003,Tony Massenburg,C,35.0,UTA,273.0,17.0,19.0,50.0,17.0,59.0,97.0,792.0,58.0,1.0,144.0,84.0,232.0,0.0,0.0,104.0,65.0,9.2,1.0,4.706896551724138,0.29310344827586204,0.3275862068965517,0.8620689655172413,0.29310344827586204,2.689655172413793,13.655172413793103,0.4482758620689655,0.7738095238095238,
